Inhalt;;;;;;;;;;;;;;;;;;;
1 Gesamtwanderung;;;;;;;;;;;;;;;;;;;
1.2.1 Wanderungen über die Grenzen der Bundesländer *;;;;;;;;;;;;;;;;;;;
Zuzüge;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;
Bundesland;Personenkreis;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016 1;2017 2;;;
;;;;;;;;;;;;;;;;;;;
Mecklenburg-Vorpommern;Deutsche;24541;24848;24063;22972;24001;24297;25244;24923;25812;24704;25118;25823;25328;26544;26110;;;
;Nichtdeutsche;7639;6930;6277;5881;6239;6614;6160;6822;8295;9986;12681;16911;32894;25809;18757;;;
;zusammen;32180;31778;30340;28853;30240;30911;31404;31745;34107;34690;37799;42734;58222;52353;44867;;;
;;;;;;;;;;;;;;;;;;;
Niedersachsen;Deutsche;179335;164745;139164;114832;116085;117341;116959;112552;117568;116808;117145;118970;117852;119862;117328;;;
;Nichtdeutsche;74203;73977;68862;65943;68437;68771;74426;78034;93323;102503;115457;143189;214868;185375;148650;;;
;zusammen;253538;238722;208026;180775;184522;186112;191385;190586;210891;219311;232602;262159;332720;305237;265978;;;
;;;;;;;;;;;;;;;;;;;
Nordrhein-Westfalen;Deutsche;149228;146088;141446;131608;135454;138954;137031;137027;143752;136452;137238;134393;132490;137303;136039;;;
;Nichtdeutsche;141124;139665;136447;132958;138778;140200;147673;162885;189975;209905;244993;299559;503794;401444;313914;;;
;zusammen;290352;285753;277893;264566;274232;279154;284704;299912;333727;346357;382231;433952;636284;538747;449953;;;
;;;;;;;;;;;;;;;;;;;
Rheinland-Pfalz;Deutsche;66503;64567;66598;64671;61121;62098;62667;61381;62545;61611;62412;63360;61818;65804;63937;;;
;Nichtdeutsche;34366;32718;33570;33966;34048;33463;33204;35669;43135;49536;57135;72274;106650;96037;77427;;;
;zusammen;100869;97285;100168;98637;95169;95561;95871;97050;105680;111147;119547;135634;168468;161841;141364;;;
